head,rel,tail
南航集团,完成,旅客运输量1.52亿人次,
旅客运输量1.52亿人次,与往年比,比上年增长8.4%,
南航集团,完成,货邮运输量176.36万吨,
货邮运输量176.36万吨,与往年比,比上年增长1.8%,
2019年,海航集团,统计年份,
海航集团,完成,飞行小时190.18万小时,
海航集团,完成,运输总周转量201.27亿吨公里,
运输总周转量201.27亿吨公里,与往年比,比上年增长3.5%,
海航集团,完成,旅客运输量1.14亿人次,
旅客运输量1.14亿人次,与往年比,比上年增长4.6%,
海航集团,完成,货邮运输量84.19万吨,
货邮运输量84.19万吨,与往年比,比上年下降2.6%,
2019年,其他航空公司,统计年份,
其他航空公司,完成,飞行小时222.43万小时,
其他航空公司,完成,运输总周转量194.73亿吨公里,
运输总周转量194.73亿吨公里,与往年比,比上年增长19.1%,
其他航空公司,完成,旅客运输量1.22亿人次,
旅客运输量1.22亿人次,与往年比,比上年增长15.8%,
其他航空公司,完成,货邮运输量141.00万吨,
货邮运输量141.00万吨,与往年比,比上年增长12.4%,
截至2019年底,颁证运输机场238个,统计年份,
我国,有,颁证运输机场238个,
颁证运输机场238个,与往年比,比上年底净增3个,
2019年,新增机场,统计年份,
新增机场,机场,北京大兴国际机场,
新增机场,机场,巴中恩阳机场,
新增机场,机场,重庆巫山机场,
新增机场,机场,甘孜格萨尔机场,
2019年,北京南苑机场,统计年份,
北京南苑机场,停航,机场,
宜宾菜坝机场,迁,机场,
2019年,迁,统计年份,
迁,机场,宜宾五粮液机场,
2019年,全行业,统计年份,
全行业,有,新开工、续建机场项目126个,
全行业,新增,跑道7条,
全行业,新增,停机位444个,
全行业,新增,航站楼面积174.9万平米,
截至2019年底,运输机场,统计年份,
运输机场,新增,跑道261条,
运输机场,新增,停机位6244个,
运输机场,新增,航站楼面积1629万平米,
全行业,旗下,运输机场,
2019年,旅客吞吐量7.10亿人次,统计年份,
东部地区,完成,旅客吞吐量7.10亿人次,
旅客吞吐量7.10亿人次,与往年比,比上年增长5.4%,
中部地区,完成,旅客吞吐量1.56亿人次,
2019年,旅客吞吐量1.56亿人次,统计年份,
旅客吞吐量1.56亿人次,与往年比,比上年增长10.8%,
2019年,旅客吞吐量4.03亿人次,统计年份,
西部地区,完成,旅客吞吐量4.03亿人次,
旅客吞吐量4.03亿人次,与往年比,比上年增长8.3%,
2019年,旅客吞吐量0.84亿人次,统计年份,
东北地区,完成,旅客吞吐量0.84亿人次,
旅客吞吐量0.84亿人次,与往年比,比上年增长6.2%,
2019年,民航运输机场,统计年份,
民航运输机场,完成,货邮吞吐量[11]1710.01万吨,
货邮吞吐量[11]1710.01万吨,与往年比,比上年增长2.1%,
2019年,货邮吞吐量1245.92万吨,统计年份,
2019年,货邮吞吐量124.70万吨,统计年份,
2019年,邮吞吐量279.04万吨,统计年份,
2019年,货邮吞吐量60.36万吨,统计年份,
东部地区,完成,货邮吞吐量1245.92万吨,
货邮吞吐量1245.92万吨,与往年比,与上年持平,
中部地区,完成,货邮吞吐量124.70万吨,
货邮吞吐量124.70万吨,与往年比,比上年增长9.9%,
西部地区,完成,邮吞吐量279.04万吨,
邮吞吐量279.04万吨,与往年比,比上年增长7.4%,
东北地区,完成,货邮吞吐量60.36万吨,
货邮吞吐量60.36万吨,与往年比,比上年增长9.6%,
2019年,民航运输机场,统计年份,
运输架次986.82万架次,与往年比,比上年增长5.3%,
起降架次[12]1166.05万架次,与往年比,比上年增长5.2%,
2019年,年旅客吞吐量,统计年份,
截至2019年底,通用航空企业478家,统计年份,
年旅客吞吐量,运输机场,实现,
年旅客吞吐量,条件,100万人次以上,
运输机场,有,106个,
运输机场,其中,北京、上海和广州三大城市,
北京、上海和广州三大城市,旗下,机场,
机场,实现,客吞吐量,
客吞吐量,比例,全部境内机场旅客吞吐量的22.4%,
通用航空经营许可证,通用航空企业478家,获得,
通用航空企业478家,包含,华北地区104家,
通用航空企业478家,包含,东北地区39家,
通用航空企业478家,包含,华东地区113家,
通用航空企业478家,包含,中南地区116家,
通用航空企业478家,包含,西南地区55家,
通用航空企业478家,包含,西北地区33家,
通用航空企业478家,包含,新疆地区18家,
2019年底,在册航空器总数达到2707架,统计年份,
通用航空,有,在册航空器总数达到2707架,
在册航空器总数达到2707架,其中,教学训练用飞机849架,
2019年,44座通用机场获得颁证,统计年份,
2019年,颁证通用机场数量达到246座,统计年份,
全行业,有,颁证通用机场数量达到246座,
2019年,全行业,统计年份,
全行业,完成,用航空生产飞行106.50万小时,
用航空生产飞行106.50万小时,与往年比,比上年增长13.6%,
载客类作业,完成,9.95万小时,
9.95万小时,与往年比,比上年增长17.5%,
作业类作业,完成,16.05万小时,
16.05万小时,与往年比,比上年增长4.3%,
培训类作业,完成,38.66万小时,
38.66万小时,与往年比,比上年增长26.1%,
其他类作业,完成,5.32万小时,
5.32万小时,与往年比,比上年增长6.6%,
非经营性,完成,36.52万小时,
36.52万小时,与往年比,比上年增长6.7%,
用航空生产飞行106.50万小时,其中,载客类作业,
用航空生产飞行106.50万小时,其中,作业类作业,
用航空生产飞行106.50万小时,其中,培训类作业,
用航空生产飞行106.50万小时,其中,其他类作业,
用航空生产飞行106.50万小时,其中,非经营性,
截至2019年底,全行业,统计年份,
全行业,有,无人机拥有者注册用户达37.1万个,
无人机拥有者注册用户达37.1万个,其中,个人用户32.4万个,
无人机拥有者注册用户达37.1万个,其中,企业、事业、机关法人单位用户4.7万个,
全行业,有,注册无人机共39.2万架,
2019年,全行业,统计年份,
全行业,有,无人机有效驾驶员执照67218本,
2019年,无人机,统计年份,
无人机,完成,无人机飞行小时共有11125万小时,
2019年,全行业,统计年份,
全行业,有,在册运输飞机,
在册运输飞机,运输效率,平均日利用率为9.33小时,
平均日利用率为9.33小时,与往年比,比上年减少0.03小时,
在册运输飞机,其中,大中型飞机,
在册运输飞机,其中,小型飞机,
大中型飞机,运输效率,平均日利用率为9.49小时,
平均日利用率为9.49小时,与往年比,比上年提高0.01小时,
小型飞机,运输效率,平均日利用率为6.39小时,
平均日利用率为6.39小时,与往年比,比上年减少0.52小时,
2019年,正班客座率平均为83.2%,统计年份,
正班客座率平均为83.2%,与往年比,与上年持平,
2019年,正班载运率平均为71.6%,统计年份,
正班载运率平均为71.6%,与往年比,比上年降低1.6个百分点,
航空公司,实现,营业收入6487.2亿元,
营业收入6487.2亿元,与往年比,比上年增长6.5%,
航空公司,实现,利润总额261.1亿元,
利润总额261.1亿元,与往年比,比上年增加57.3亿元,
机场,实现,营业收入1207.0亿元,
营业收入1207.0亿元,与往年比,比上年增长8.1%,
机场,实现,利润总额161.1亿元,
利润总额161.1亿元,与往年比,比上年减少5.5亿元,
保障企业,实现,营业收入2930.6亿元,
营业收入2930.6亿元,与往年比,比上年增长0.7%,
保障企业,实现,利润总额119.2亿元,
利润总额119.2亿元,与往年比,比上年增加5.9亿元,
2019年,全行业,统计年份,
全行业,实现,运输收入水平为4.62元/吨公里,
运输收入水平为4.62元/吨公里,与往年比,比上年降低0.06元/吨公里,
客运收入水平5.47元/吨公里,与往年比,比上年降低0.14元/吨公里,
货邮运输收入水平1.45元/吨公里,与往年比,比上年降低0.06元/吨公里,
全行业,实现,客运收入水平5.47元/吨公里,
全行业,实现,货邮运输收入水平1.45元/吨公里,
2019年,全行业,统计年份,
全行业,缴税,应交税金357.9亿元,
应交税金357.9亿元,与往年比,比上年减少68.5亿元,
2019年,民航安全运行平稳可控，运输航空百万架次重大事故率十年滚动值为0.028（世界平均水平为0.292）,统计年份,
2019年,发生通用航空事故15起，死亡8人,统计年份,
运输航空,完成,安全飞行112个月，累计安全飞行8068万小时,
自2010年8月25日至2019年底,运输航空,统计年份,
2019年,航空征候570起,统计年份,
航空征候570起,与往年比,同比下降2.23%,
航空征候570起,其中,严重征候11起,
严重征候11起,与往年比,同比下降31.25%,
严重征候,时率,万时率,
人为责任原因征候,时率,万时率,
2019年,全行业共有39家运输航空公司未发生责任征候,统计年份,
万时率,量值,0.009和0.023,
严重征候,和,人为责任原因征候,
截至2019年底,空管行业,统计年份,
截至2019年,机场,统计年份,
年旅客吞吐量,机场,实现,
年旅客吞吐量,条件,500万人次以上,
2019年,5部民航规章,统计年份,
2019年,民航安检部门,统计年份,
民航安检部门,检查,旅客6.60亿人次,
民航安检部门,检查,托运行李3.49亿件次,
民航安检部门,检查,航空货物（不含邮件、快件）5.32亿件次,
民航安检部门,检查,邮件、快件2.44亿件次,
民航安检部门,查处,编造虚假恐怖威胁信息非法干扰事件38起,
民航安检部门,查处,各类安保事件14582起,
截至2019年底,17年零7个月的空防安全零责任事故纪录,统计年份,
2019年,客运航空公司,统计年份,
客运航空公司,完成,航班461.11万班次,
航班461.11万班次,其中,正常航班376.52万班次,
航班461.11万班次,其中,平均航班正常率为81.65%,
2019年,主要航空公司,统计年份,
主要航空公司,完成,航班330.47万班次,
航班330.47万班次,其中,正常航班269.11万班次,
航班330.47万班次,其中,平均航班正常率为81.43%,
截至2019年底,229个机场和主要航空公司可实现“无纸化”出行；37家千万级机场国内旅客平均自助值机比例达71.6%；在8家航空公司、29家机场开展跨航司行李直挂试点；15家航空公司410架飞机为旅客提供客舱网络服务，其中9家航空公司202架飞机实现地空互联，为805万次旅客提供了空中接入互联网服务；航空货运电子运单使用突破160万票；12326民航服务质量监督电话开通，国内航空公司投诉响应率达100%,统计年份,
2019年,民航局、各地区管理局、民航局消费者事务中心和中国14航空运输协会,统计年份,
民航局、各地区管理局、民航局消费者事务中心和中国14航空运输协会,受理,航空消费者投诉30462件,
2019年,服务满意度,统计年份,
旅客,对于,航空公司,
航空公司,和,机场,
旅客,给予,服务满意度,
服务满意度,量值,4.26分和4.32分,
2019年,民航直属院校,统计年份,
民航直属院校,招生,招收学生23610人,
招收学生23610人,其中,研究生1144人,
招收学生23610人,其中,普通本专科生20614人,
招收学生23610人,其中,成人招生1852人,
招收学生23610人,其中,招收飞行学生6232人,
2019年,民航直属院校,统计年份,
民航直属院校,在校学生,在校生数达到72512人,
在校生数达到72512人,其中,研究生3015人,
在校生数达到72512人,其中,普通本专科生64902人,
在校生数达到72512人,其中,成人在校生4595人,
2019年,民航直属院校,统计年份,
民航直属院校,毕业生,毕业学生19490人,
毕业学生19490人,其中,硕士研究生858人,
毕业学生19490人,其中,普通本专科16930人,
毕业学生19490人,其中,成人学生1701人,
2019年,全行业,统计年份,
全行业,遴选,9名领军人才,
全行业,遴选,20名拔尖人才,
全行业,遴选,12个创新团队,
全行业,通过,8家民航重点实验室和民航工程技术研究中心通过认定,
全行业,通过,10家民航科技创新“四型”科研院所和“五大”基地,
全行业,通过,3家民航产业技术创新战略联盟,
2019年,民航,统计年份,
民航,评审验收,科技成果32项,
科技成果32项,其中,中国航空运输协会民航科学技术奖37项,
截至2019年底,全行业,统计年份,
全行业,有,19家航空公司具备HUD运行能力，1256架运输飞机具备HUD能力，具备HUD特殊Ⅰ类标准的机场97个（2019年新15增15个），具备HUD特殊Ⅱ类标准的机场21个，具备HUDRVR150米起飞标准的机场11个,
全行业,有,230个运输机场具备PBN飞行程序，地形复杂的26个机场配备RNPAR程序，98%的运输飞机具备ADS-B能力，39家航空公司应用了电子飞行包（EFB）,
截至2019年底,民航,统计年份,
民航,有,驾驶员有效执照总数为67953本,
驾驶员有效执照总数为67953本,与往年比,比上年底增加6461本,
驾驶员有效执照总数为67953本,其中,运动驾驶员执照（SPL）1173本,
驾驶员有效执照总数为67953本,其中,私用驾驶员执照（PPL）4352本,
驾驶员有效执照总数为67953本,其中,商用驾驶员执照（CPL）35329本,
驾驶员有效执照总数为67953本,其中,多人制机组驾驶员执照（MPL）193本,
驾驶员有效执照总数为67953本,其中,航线运输驾驶员执照（ATPL）26906本,
空管行业,有,四类专业技术人员共30964人,
四类专业技术人员共30964人,与往年比,比上年新增3257人,
空管行业,有,空中交通管制人员13828人,
空中交通管制人员13828人,与往年比,比上年新增700人,
2019年,双边航空会谈或书面磋商,统计年份,
我国,举行,双边航空会谈或书面磋商,
我国,对外关系,25个国家或地区,
截至2019年底,双边航空运输协定127个,统计年份,
我国,对外关系,其他国家或地区,
我国,签订,双边航空运输协定127个,
双边航空运输协定127个,与往年比,比上年底增加1个,
双边航空运输协定127个,包含,亚洲有44个（含东盟）,
双边航空运输协定127个,包含,非洲有27个,
双边航空运输协定127个,包含,欧洲有37个,
双边航空运输协定127个,包含,美洲有12个,
双边航空运输协定127个,包含,大洋洲有7个,
截至2019年底,国家或地区为39个,统计年份,
我国,签订,国家或地区为39个,
2019年,全行业,统计年份,
全行业,新增,613架航空器国籍登记,
613架航空器国籍登记,其中,运输航空器220架,
613架航空器国籍登记,其中,通用航空器393架,
613架航空器国籍登记,其中,通用航空器连续四年超过300架,
2019年,民航适航审定部门,统计年份,
民航适航审定部门,颁发,204份设计批准类证件,
204份设计批准类证件,其中,33份生产批准类证件,
204份设计批准类证件,其中,154份航油航化批准证件,
2019年,固定资产投资总额1819.9亿元,统计年份,
民航,完成,固定资产投资总额1819.9亿元,
固定资产投资总额1819.9亿元,其中,基本建设和技术改造投资969.4亿元,
基本建设和技术改造投资969.4亿元,与往年比,比上年增加3.5%,
基本建设和技术改造投资,其中,机场系统,
机场系统,投资,751.4亿元,
基本建设和技术改造投资,其中,空管系统,
基本建设和技术改造投资,其中,安保系统,
基本建设和技术改造投资,其中,信息系统,
基本建设和技术改造投资,其中,科教系统,
基本建设和技术改造投资,其中,油料系统,
基本建设和技术改造投资,其中,机务维修系统,
基本建设和技术改造投资,其中,运输服务系统,
基本建设和技术改造投资,其中,公用设施系统,
空管系统,投资,50.6亿元,
安保系统,投资,1.7亿元,
信息系统,投资,0.8亿元,
科教系统,投资,5.3亿元,
油料系统,投资,23.1亿元,
机务维修系统,投资,0.5亿元,
运输服务系统,投资,70.5亿元,
公用设施系统,投资,65.5亿元,
2019年,民航,统计年份,
民航,节约,油耗为0.285公斤,
油耗为0.285公斤,与往年比,较2005年（行业节能减排目标基年）下降16.2%,
油耗为0.285公斤,与往年比,较“十二五”末（2013-2015年）均值下降约15.8%,
2019年,37.3万架次航班,统计年份,
37.3万架次航班,使用,临时航路,
37.3万架次航班,缩短,飞行距离1570万公里,
37.3万架次航班,节约,燃油消耗8.5万吨,
37.3万架次航班,减少,二氧化碳排放约26.7万吨,
机场,其中,95%以上的单位,
95%以上的单位,完成,APU替代设备安装,
截至2019年,机场,统计年份,
机场,有,电动车辆2700台,
机场,有,充电设施1400个,
机场,其中,电动车辆占比约7.5%,
2019年,全行业,统计年份,
全行业,发生,行政处罚案件326起,
行政处罚案件326起,详细,11个自然人因实施《民航行业信用管理办法（试行）》规定的严重失信行为而被列入民航行业严重失信人名单；10168名旅客被列入限制乘坐民用航空器特定严重失信人名单,
2019年,民航工会,统计年份,
民航工会,推荐,民航系统,
民航系统,其中,1个先进单位,
民航系统,其中,3名先进个人,
民航系统,其中,1019个先进班组,
1个先进单位,被授予,“全国五一劳动奖状”,
3名先进个人,被授予,“全国五一劳动奖章”,
1019个先进班组,被授予,“全国工人先锋号”,
2019年,“安康杯”,统计年份,
“安康杯”,444个单位,参加,
“安康杯”,3.27万个班组,参加,
“安康杯”,67.31万名职工,参加,
运输机场,与往年比,比上年降低0.9个百分点,
