head,rel,tail
2013年,全行业,统计年份,
全行业,完成,运输总周转量671.72亿吨公里,
运输总周转量671.72亿吨公里,与往年比,比上年增加61.40亿吨公里,
运输总周转量671.72亿吨公里,与往年比,增长10.1%,
运输总周转量671.72亿吨公里,其中,旅客周转量501.43亿吨公里,
旅客周转量501.43亿吨公里,与往年比,比上年增加55.00亿吨公里,
旅客周转量501.43亿吨公里,与往年比,增长12.3%,
运输总周转量671.72亿吨公里,其中,货邮周转量170.29亿吨公里,
货邮周转量170.29亿吨公里,与往年比,，比上年增加6.40亿吨公里,
货邮周转量170.29亿吨公里,与往年比,增长3.9%,
2013年,国内航线,统计年份,
国内航线,完成,运输周转量461.05亿吨公里,
运输周转量461.05亿吨公里,与往年比,比上年增加45.21亿吨公里,
运输周转量461.05亿吨公里,与往年比,增长10.9%,
国内航线,其中,港澳台航线,
港澳台航线,完成,14.23亿吨公里,
14.23亿吨公里,与往年比,比上年增加0.56亿吨公里,
14.23亿吨公里,与往年比,增长4.1%,
2013年,国际航线,统计年份,
国际航线,完成,运输周转量210.68亿吨公里,
运输周转量210.68亿吨公里,与往年比,比上年增长16.19亿吨公里,
运输周转量210.68亿吨公里,与往年比,增长8.3%,
国内航线,完成,旅客运输量32742万人次,
旅客运输量32742万人次,与往年比,比上年增加3142万人次,
旅客运输量32742万人次,与往年比,比上年增加3142万人次,
旅客运输量32742万人次,与往年比,增长10.6%,
国内航线,其中,港澳台航线,
港澳台航线,完成,904万人次,
904万人次,与往年比,比上年增加70万人次,
904万人次,与往年比,增长8.4%,
国际航线,完成,旅客运输量2655万人次,
旅客运输量2655万人次,与往年比,比上年增加319万人次,
旅客运输量2655万人次,与往年比,增长13.7%,
国内航线,完成,货邮运输量406.7万吨,
货邮运输量406.7万吨,与往年比,比上年增长4.7%,
国内航线,其中,港澳台航2线,
港澳台航2线,完成,19.9万吨,
19.9万吨,与往年比,比上年降低4.4%,
国际航线,完成,货邮运输量154.5万吨,
货邮运输量154.5万吨,与往年比,比上年降低1.3%,
截至2013年底,全行业,统计年份,
全行业,有,运输飞机期末在册架数2145架,
运输飞机期末在册架数2145架,与往年比,比上年增加204架,
截至2013年底,颁证运输机场193个,统计年份,
我国,有,颁证运输机场193个,
颁证运输机场193个,与往年比,比上年增加10个,
2013年,新增机场,统计年份,
新增机场,机场,内蒙古阿拉善左旗机场,
新增机场,机场,内蒙古阿拉善右旗机场,
新增机场,机场,内蒙古额济纳旗机场,
新增机场,机场,河北张家口机场,
新增机场,机场,四川稻城机场,
新增机场,机场,贵州凯里机场,
新增机场,机场,安徽池州机场,
新增机场,机场,贵州毕节机场,
新增机场,机场,江西宜春机场,
新增机场,机场,甘肃甘南藏族自治州夏河机场,
2013年,迁建,统计年份,
合肥机场,迁建,机场,
2013年,停航,统计年份,
新疆且末机,停航,机场,
我国,有,航空公司,
航空公司,开通,国际定期航班,
国际定期航班,通航,50个国家的118个城市,
内地航空公司定期航班,41个内地城市,开通,
内地航空公司定期航班,通航,香港,
内地航空公司定期航班,10个内地城市,开通,
内地航空公司定期航班,通航,澳门,
大陆航空公司,42个大陆城市,开通,
大陆航空公司,通航,台湾地区,
2013年底,双边航空运输协定115个,统计年份,
我国,对外关系,其他国家或地区,
我国,签订,双边航空运输协定115个,
双边航空运输协定115个,与往年比,比2012年底增加1个,
双边航空运输协定115个,包含,亚洲44个国家,
双边航空运输协定115个,包含,非洲23个国家,
双边航空运输协定115个,包含,欧洲35个国家,
双边航空运输协定115个,包含,美洲9个国家,
双边航空运输协定115个,包含,大洋洲4个国家,
截至2013年底,运输航空公司46家,统计年份,
我国,有,运输航空公司46家,
运输航空公司46家,包含,国有控股公司36家,
运输航空公司46家,包含,民营和民营控股公司10家,
运输航空公司46家,包含,全货运航空公司7家,
运输航空公司46家,包含,中外合资航空公司13家,
运输航空公司46家,包含,上市公司5家,
中航集团,完成,飞行小时175.5万小时,
中航集团,完成,运输总周转量188.8亿吨公里,
运输总周转量188.8亿吨公里,与往年比,比上年增加6.9%,
中航集团,完成,旅客运输量0.89亿人次,
旅客运输量0.89亿人次,与往年比,比上年增加8.1%,
中航集团,完成,货邮运输量156.0万吨,
货邮运输量156.0万吨,与往年比,比上年增加0.3%,
东航集团,完成,飞行小时155.3万小时,
东航集团,完成,运输总周转量155.3亿吨公里,
运输总周转量155.3亿吨公里,与往年比,比上年增加7.8%,
