head,rel,tail
东部地区,完成,货邮吞吐量1215.89万吨,
东北地区,完成,货邮吞吐量54.74万吨,
中部地区,完成,货邮吞吐量102.61万吨,
西部地区,完成,货邮吞吐量244.49万吨,
起降架次[8]1024.9万架次,与往年比,比上年增长10.9%,
2017年,运输机场,统计年份,
运输机场,完成,起降架次[8]1024.9万架次,
2017年,年旅客吞吐量,统计年份,
年旅客吞吐量,条件,100万人次以上,
年旅客吞吐量,运输机场84个,实现,
运输机场84个,其中,北京、上海和广州三大城市,
北京、上海和广州三大城市,旗下,机场,
机场,实现,旅客吞吐量,
旅客吞吐量,比例,全部境内机场旅客吞吐量的24.3%,
截至2017年底,全行业,统计年份,
全行业,有,运输飞机期末在册架数3296架,
运输飞机期末在册架数3296架,与往年比,比上年底增加346架,
截至2017年底,颁证运输机场229个,统计年份,
我国,有,颁证运输机场229个,
颁证运输机场229个,与往年比,比上年底增加11个,
2017年,新增机场,统计年份,
新增机场,机场,云南澜沧机场,
新增机场,机场,新疆莎车机场,
新增机场,机场,内蒙古霍林郭勒机场,
新增机场,机场,吉林松原机场,
新增机场,机场,吉林白城机场,
新增机场,机场,江西上饶机场,
新增机场,机场,河北承德机场,
新增机场,机场,湖南邵阳机场,
新增机场,机场,贵州茅台机场,
新增机场,机场,黑龙江五大连池机场,
新增机场,机场,黑龙江建三江机场,
新增机场,机场,陕西安康机场,
我国,有,航空公司,
航空公司,开通,国际定期航班,
国际定期航班,通航,60个国家的158个城市,
国内航空公司定期航班,30个内地城市,开通,
国内航空公司定期航班,通航,香港,
国内航空公司定期航班,12个内地城市,开通,
国内航空公司定期航班,通航,澳门,
大陆航空公司,46个大陆城市,开通,
大陆航空公司,通航,台湾地区,
截至2017年底,双边航空运输协定122个,统计年份,
我国,对外关系,其他国家或地区,
我国,签订,双边航空运输协定122个,
双边航空运输协定122个,与往年比,比上年底增加2个,
双边航空运输协定122个,包含,亚洲有44个（含东盟）,
双边航空运输协定122个,包含,非洲有24个,
双边航空运输协定122个,包含,欧洲有37个,
双边航空运输协定122个,包含,美洲有10个,
双边航空运输协定122个,包含,大洋洲有7个,
截至2017年底,运输航空公司58家,统计年份,
我国,有,运输航空公司58家,
运输航空公司58家,与往年比,比上年底净减1家,
运输航空公司58家,包含,国有控股公司43家,
运输航空公司58家,包含,民营和民营控股公司15家,
运输航空公司58家,包含,全货运航空公司8家,
中航集团,完成,飞行小时253.3万小时,
中航集团,完成,运输总周转量286.4亿吨公里,
运输总周转量286.4亿吨公里,与往年比,比上年增长9.4%,
中航集团,完成,旅客运输量1.26亿人次,
旅客运输量1.26亿人次,与往年比,比上年增长9.2%,
中航集团,完成,货邮运输量201.1万吨,
货邮运输量201.1万吨,与往年比,比上年增长4.9%,
东航集团,完成,飞行小时211.1万小时,
东航集团,完成,运输总周转量213.2亿吨公里,
运输总周转量213.2亿吨公里,与往年比,比上年增长8.2%,
东航集团,完成,旅客运输量1.11亿人次,
旅客运输量1.11亿人次,与往年比,比上年增9长8.9%,
东航集团,完成,货邮运输量143.9万吨,
货邮运输量143.9万吨,与往年比,比上年增长3.1%,
南航集团,完成,飞行小时256.6万小时,
海航集团,完成,飞行小时167.4万小时,
其他航空公司,完成,飞行小时171.4万小时,
南航集团,完成,运输总周转量272.9亿吨公里,
运输总周转量272.9亿吨公里,与往年比,比上年增长11.9%,
南航集团,完成,旅客运输量1.26亿人次,
旅客运输量1.26亿人次,与往年比,比上年增长10.2%,
南航集团,完成,货邮运输量167.2万吨,
货邮运输量167.2万吨,与往年比,比上年增长3.7%,
海航集团,完成,运输总周转量168.3亿吨公里,
运输总周转量168.3亿吨公里,与往年比,比上年增长18.9%,
海航集团,完成,旅客运输量0.98亿人次,
旅客运输量0.98亿人次,与往年比,比上年增长19.1%,
海航集团,完成,货邮运输量78.3万吨,
货邮运输量78.3万吨,与往年比,比上年下降0.3%,
其他航空公司,完成,运输总周转量142.3亿吨公里,
运输总周转量142.3亿吨公里,与往年比,比上年增长20.9%,
其他航空公司,完成,旅客运输量0.90亿人次,
旅客运输量0.90亿人次,与往年比,比上年增长22.4%,
其他航空公司,完成,货邮运输量115.5万吨,
货邮运输量115.5万吨,与往年比,比上年增长18.7%,
2017年,全行业,统计年份,
全行业,完成,通用航空生产飞行83.75万小时,
通用航空生产飞行83.75万小时,与往年比,比上年增长9.5%,
通用航空生产飞行83.75万小时,其中,工业航空作业,
通用航空生产飞行83.75万小时,其中,农林业航空作业,
通用航空生产飞行83.75万小时,其中,其他通用航空,
工业航空作业,完成,8.93万小时,
8.93万小时,与往年比,比上年增长7.8%,
农林业航空作业,完成,5.96万小时,
5.96万小时,与往年比,比上年增长16.8%,
其他通用航空,完成,68.86万小时,
68.86万小时,与往年比,比上年增长9.2%,
截至2017年底,通用航空企业365家,统计年份,
通用航空经营许可证,通用航空企业365家,获得,
通用航空企业365家,包含,华北地区92家,
通用航空企业365家,包含,中南地区77家,
通用航空企业365家,包含,华东地区80家,
通用航空企业365家,包含,东北地区32家,
通用航空企业365家,包含,西南地区40家,
通用航空企业365家,包含,西北地区32家,
通用航空企业365家,包含,新疆地区12家,
2017年,全行业,统计年份,
全行业,有,在册运输飞机,
在册运输飞机,运输效率,平均日利用率为9.49小时,
平均日利用率为9.49小时,与往年比,比上年增加0.08小时,
在册运输飞机,其中,大中型飞机,
在册运输飞机,其中,小型飞机,
大中型飞机,运输效率,平均日利用率为9.63小时,
平均日利用率为9.63小时,与往年比,比上年增加0.06小时,
小型飞机,运输效率,平均日利用率为7.04小时,
平均日利用率为7.04小时,与往年比,比上年增加0.4小时,
2017年,正班客座率平均为83.2%,统计年份,
2017年,正班载运率平均为73.5%,统计年份,
正班客座率平均为83.2%,与往年比,比上年提高0.6个百分点,
正班载运率平均为73.5%,与往年比,比上年提高0.8个百分点,
航空公司,实现,营业收入5333.8亿元,
营业收入5333.8亿元,与往年比,比上年增长11.9%,
航空公司,实现,利润总额408.2亿元,
利润总额408.2亿元,与往年比,比上年增长32.6亿元,
机场,实现,营业收入958.0亿元,
营业收入958.0亿元,与往年比,比上年增长14.6%,
机场,实现,利润总额154.0亿元,
利润总额154.0亿元,与往年比,比上年增长30.9亿元,
保障企业,实现,营业收入1168.8亿元,
营业收入1168.8亿元,与往年比,比上年增长35.1%,
保障企业,实现,利润总额90.1亿元,
利润总额90.1亿元,与往年比,比上年增长8.1亿元,
2017年,全行业,统计年份,
全行业,实现,运输收入水平为4.57元/吨公里,
运输收入水平为4.57元/吨公里,与往年比,比上年下降0.08元/吨公里,
全行业,实现,客运收入水平5.51元/吨公里,
客运收入水平5.51元/吨公里,与往年比,比上年下降0.18元/吨公里,
全行业,实现,货邮运输收入水平1.48元/吨公里,
货邮运输收入水平1.48元/吨公里,与往年比,比上年提高0.15元/吨公里,
2017年,全行业,统计年份,
全行业,缴税,应交税金381.4亿元,
应交税金381.4亿元,与往年比,比2016年增长5.6%,
2017年,民航安全形势平稳，全行业未发生运输航空事故，运输航空百万小时重大事故率十年滚动值为0.015（世界平均水平为0.175）,统计年份,
2017年,发生通用航空事故6起，死亡4人,统计年份,
自2010年8月25日至2017年底,运输航空,统计年份,
运输航空,完成,安全飞行88个月，累计安全飞行5682万小时,
2017年,事故征候587起,统计年份,
事故征候587起,与往年比,同比上升12.45%,
严重事故征候19起,与往年比,同比上升5.56%,
事故征候587起,其中,严重事故征候19起,
严重事故征候,和,责任原因事故征候,
责任原因事故征候,时率,万时率,
万时率,量值,0.018和0.030,
2017年,全行业,统计年份,
2017年,41家运输航空公司未发生责任原因事故征候,统计年份,
2017年,民航安检部门,统计年份,
民航安检部门,检查,旅客5.66亿人次,
民航安检部门,检查,托运行李3.19亿件次,
民航安检部门,检查,航空货物（不含邮件、快件）4.43亿件次,
民航安检部门,检查,邮件、快件1.99亿件次,
民航安检部门,查处,编造虚假恐怖威胁信息非法干扰事件52起,
2017年,客运航空公司,统计年份,
客运航空公司,完成,航班403.9万班次,
航班403.9万班次,其中,正常航班289.5万班次,
航班403.9万班次,其中,平均航班正常率为71.67%,
2017年,主要航空公司,统计年份,
主要航空公司,完成,航班298.8万班次,
航班298.8万班次,其中,正常航班212.9万班次,
航班298.8万班次,其中,平均航班正常率为71.25%,
2017年,民航局、民航局消费者事务中心和中国航空运输协会,统计年份,
民航局、民航局消费者事务中心和中国航空运输协会,受理,航空消费者投诉24781件,
2017年,受理投诉总量,统计年份,
受理投诉总量,与往年比,比上年增加5615件,
受理投诉总量,与往年比,同比增长29.3%,
2017年,固定资产投资总额1806.9亿元,统计年份,
民航,完成,固定资产投资总额1806.9亿元,
固定资产投资总额1806.9亿元,其中,基本建设和技术改造投资869.4亿元,
基本建设和技术改造投资869.4亿元,与往年比,比上年增长11.1%,
基本建设和技术改造投资,其中,机场系统,
机场系统,完成,固定资产投资总额741.4亿元,
固定资产投资总额741.4亿元,与往年比,比上年增加81.0亿元,
基本建设和技术改造投资,其中,空管系统,
空管系统,完成,固定资产投资23.3亿元,
固定资产投资23.3亿元,与往年比,与上年持平,
民航信息系统,投资,1.4亿元,
民航科研、教育系统,投资,14.6亿元,
民航安全保卫系统,投资,3.2亿元,
民航机务维修系统,投资,2.0亿元,
运输服务系统,投资,15.2亿元,
公共设施系统,投资,10.0亿元,
其他系统,投资,58.3亿元,
2017年,民航,统计年份,
民航,节约,油耗为0.293公斤,
油耗为0.293公斤,与往年比,较2005年（行业节14能减排目标基年）下降13.82%,
油耗为0.293公斤,与往年比,“十二五”末（2013-2015年）均值下降约22%,
2017年,35.5万架次航班,统计年份,
35.5万架次航班,使用,临时航路,
35.5万架次航班,缩短,飞行距离1343万公里,
35.5万架次航班,节约,燃油消耗7.2万吨,
35.5万架次航班,减少,二氧化碳排放约22.8万吨,
截至2017年,年旅客吞吐量,统计年份,
年旅客吞吐量,机场,实现,
年旅客吞吐量,条件,500万人次以上,
机场,其中,90%以上的单位,
90%以上的单位,完成,APU替代设备安装,
2017年,民航直属院校,统计年份,
民航直属院校,招生,招收学生21636人,
招收学生21636人,其中,研究生882人,
招收学生21636人,其中,普通本专科生18573人,
招收学生21636人,其中,成人招生2181人,
2017年,民航直属院校,统计年份,
2017年,民航直属院校,统计年份,
民航直属院校,在校学生,在校生数达到70291人,
在校生数达到70291人,其中,研究生2743人,
在校生数达到70291人,其中,普通本专科生62706人,
在校生数达到70291人,其中,成人在校生4842人,
民航直属院校,毕业生,毕业学生16846人,
毕业学生16846人,其中,硕士研究生822人,
毕业学生16846人,其中,普通本专科13868人,
毕业学生16846人,其中,成人学生2156人,
2017年,民航,统计年份,
民航,评审验收,科技成果20项,
科技成果20项,其中,民航协会科学技术奖28项,
2017年底,民航,统计年份,
民航,获得,驾驶员有效执照总数为55765本,
驾驶员有效执照总数为55765本,与往年比,比上年底增加5261本,
2017年,民航工会,统计年份,
民航工会,推荐,民航系统,
民航系统,其中,1个先进单位,
民航系统,其中,3名先进个人,
民航系统,其中,10个先进班组,
1个先进单位,被授予,“全国五一劳动奖状”,
3名先进个人,被授予,“全国五一劳动奖章”,
10个先进班组,被授予,“全国工人先锋号”,
2016-2017年,“安康杯”,统计年份,
“安康杯”,822个单位,参加,
“安康杯”,54775个班组,参加,
“安康杯”,1136732名职工,参加,
基本建设和技术改造投资,其中,民航信息系统,
基本建设和技术改造投资,其中,民航科研、教育系统,
基本建设和技术改造投资,其中,民航安全保卫系统,
基本建设和技术改造投资,其中,民航机务维修系统,
基本建设和技术改造投资,其中,运输服务系统,
基本建设和技术改造投资,其中,公共设施系统,
基本建设和技术改造投资,其中,其他系统,
